alpha,w_stft,w_cwt,w_ctx,accuracy,FP,FN
0.0,0.1,0.45,0.45,0.9,0,40
0.0,0.2,0.4,0.4,0.9,0,40
0.0,0.3,0.35,0.35,0.9,0,40
0.0,0.4,0.3,0.3,0.9,0,40
0.0,0.5,0.25,0.25,0.9,0,40
0.0,0.6,0.2,0.2,0.9,0,40
0.0,0.7,0.15,0.15,0.9,0,40
0.0,0.8,0.1,0.1,0.9,0,40
0.0,0.9,0.05,0.05,0.9,0,40
0.1,0.1,0.45,0.45,0.915,0,34
0.1,0.2,0.4,0.4,0.915,0,34
0.1,0.3,0.35,0.35,0.9125,0,35
0.1,0.4,0.3,0.3,0.9125,0,35
0.1,0.5,0.25,0.25,0.91,0,36
0.1,0.6,0.2,0.2,0.9075,0,37
0.1,0.7,0.15,0.15,0.905,0,38
0.1,0.8,0.1,0.1,0.9025,0,39
0.1,0.9,0.05,0.05,0.9025,0,39
0.2,0.1,0.45,0.45,0.92,0,32
0.2,0.2,0.4,0.4,0.9175,0,33
0.2,0.3,0.35,0.35,0.9175,0,33
0.2,0.4,0.3,0.3,0.915,0,34
0.2,0.5,0.25,0.25,0.915,0,34
0.2,0.6,0.2,0.2,0.9075,0,37
0.2,0.7,0.15,0.15,0.9075,0,37
0.2,0.8,0.1,0.1,0.9,0,40
0.2,0.9,0.05,0.05,0.9,0,40
0.3,0.1,0.45,0.45,0.9375,2,23
0.3,0.2,0.4,0.4,0.9325,2,25
0.3,0.3,0.35,0.35,0.935,0,26
0.3,0.4,0.3,0.3,0.935,0,26
0.3,0.5,0.25,0.25,0.9325,0,27
0.3,0.6,0.2,0.2,0.93,0,28
0.3,0.7,0.15,0.15,0.92,0,32
0.3,0.8,0.1,0.1,0.8975,0,41
0.3,0.9,0.05,0.05,0.895,0,42
0.4,0.1,0.45,0.45,0.9775,2,7
0.4,0.2,0.4,0.4,0.9775,2,7
0.4,0.3,0.35,0.35,0.9775,2,7
0.4,0.4,0.3,0.3,0.9725,2,9
0.4,0.5,0.25,0.25,0.96,2,14
0.4,0.6,0.2,0.2,0.94,2,22
0.4,0.7,0.15,0.15,0.94,0,24
0.4,0.8,0.1,0.1,0.925,0,30
0.4,0.9,0.05,0.05,0.9075,0,37
0.5,0.1,0.45,0.45,0.9875,4,1
0.5,0.2,0.4,0.4,0.9875,4,1
0.5,0.3,0.35,0.35,0.9925,2,1
0.5,0.4,0.3,0.3,0.99,2,2
0.5,0.5,0.25,0.25,0.9875,2,3
0.5,0.6,0.2,0.2,0.985,2,4
0.5,0.7,0.15,0.15,0.9775,2,7
0.5,0.8,0.1,0.1,0.9375,2,23
0.5,0.9,0.05,0.05,0.925,0,30
0.6,0.1,0.45,0.45,0.985,6,0
0.6,0.2,0.4,0.4,0.985,6,0
0.6,0.3,0.35,0.35,0.99,4,0
0.6,0.4,0.3,0.3,0.99,4,0
0.6,0.5,0.25,0.25,0.9925,3,0
0.6,0.6,0.2,0.2,0.9925,2,1
0.6,0.7,0.15,0.15,0.9925,2,1
0.6,0.8,0.1,0.1,0.9775,2,7
0.6,0.9,0.05,0.05,0.9425,2,21
0.7,0.1,0.45,0.45,0.97,12,0
0.7,0.2,0.4,0.4,0.9725,11,0
0.7,0.3,0.35,0.35,0.9725,11,0
0.7,0.4,0.3,0.3,0.9775,9,0
0.7,0.5,0.25,0.25,0.98,8,0
0.7,0.6,0.2,0.2,0.985,6,0
0.7,0.7,0.15,0.15,0.9925,3,0
0.7,0.8,0.1,0.1,0.9925,2,1
0.7,0.9,0.05,0.05,0.9875,2,3
0.8,0.1,0.45,0.45,0.9275,29,0
0.8,0.2,0.4,0.4,0.9375,25,0
0.8,0.3,0.35,0.35,0.9475,21,0
0.8,0.4,0.3,0.3,0.955,18,0
0.8,0.5,0.25,0.25,0.9575,17,0
0.8,0.6,0.2,0.2,0.97,12,0
0.8,0.7,0.15,0.15,0.98,8,0
0.8,0.8,0.1,0.1,0.9875,5,0
0.8,0.9,0.05,0.05,0.9925,2,1
0.9,0.1,0.45,0.45,0.7225,111,0
0.9,0.2,0.4,0.4,0.7375,105,0
0.9,0.3,0.35,0.35,0.745,102,0
0.9,0.4,0.3,0.3,0.775,90,0
0.9,0.5,0.25,0.25,0.8175,73,0
0.9,0.6,0.2,0.2,0.8775,49,0
0.9,0.7,0.15,0.15,0.9275,29,0
0.9,0.8,0.1,0.1,0.965,14,0
0.9,0.9,0.05,0.05,0.985,6,0
1.0,0.1,0.45,0.45,0.6625,135,0
1.0,0.2,0.4,0.4,0.665,134,0
1.0,0.3,0.35,0.35,0.6675,133,0
1.0,0.4,0.3,0.3,0.6675,133,0
1.0,0.5,0.25,0.25,0.6725,131,0
1.0,0.6,0.2,0.2,0.6775,129,0
1.0,0.7,0.15,0.15,0.685,126,0
1.0,0.8,0.1,0.1,0.705,118,0
1.0,0.9,0.05,0.05,0.7325,107,0
